Finnish,English
täältä,from here
tekee,doing
sanoin,said
vastaan,against
n,of
usko,belief
heidät,them
olevan,to be
takia,because of
sisään,in
käy,run
poika,son
jonka,whom
voimme,we can
olit,you were
asia,thing
heitä,them
olivat,were
sain,I got
meille,us
piti,kept
luulin,I thought
varmaan,will
yhä,still
sano,saying
hienoa,have a fine
tuon,that
ikinä,ever
tuolla,there
teille,on you
tiedätkö,do you know
varma,sure
yhdessä,together
rakastan,I love
joo,Yeah
juttu,thing
tarvitsen,I need
kuollut,dead
siksi,because
voisi,could
oikeassa,right
ottaa,take
ajan,I drive
kerran,once
mihin,where
lähteä,go
minne,where
yhtä,equally
tappaa,kill
teki,made
valmis,ready
toinen,second
tapahtuu,occur
ihmiset,people
pidän,I like
silloin,then
hauskaa,fun
voinut,may
tulen,I will
pitänyt,kept
tyttö,girl
teillä,at your place
teidät,you
nainen,woman
rouva,Mrs
kyse,the point of view of
kauan,long
rahaa,money
ensin,first
enkä,and not
yksin,alone
joskus,sometimes
olisin,I would be
tosi,true
lisää,more
apua,Help
tuota,put
sai,tired
oliko,Did
lopeta,end
kulta,gold
meni,went
päivä,day
pari,pair
tällä,bridge
kertaa,times
tohtori,doctor
tuntuu,feel
menen,i will go
päivää,day
jotta,so
huomenna,tomorrow
myöhemmin,later
uusi,new
tavata,meet
sanoit,you said
niinkö,Really
älkää,start
halusin,I wanted
nähdään,See you
ainoa,only
odottaa,expect
saanut,walked
jonkun,somebody
milloin,When
minäkin,me too
saan,I get
etten,not
paras,best
yhden,one
silti,still
asiaa,thing
parempi,better
vie,take
jota,whom
osaa,know
viime,last
alas,down
paikka,place
tein,did
kuuluu,belong
mikään,any
teit,you did
ihmisiä,people
ketään,anyone
ajattelin,I was thinking about
ylös,up
okei,okay
jotakin,something
alkaa,start
miehen,male
ymmärrän,I understand
hetki,moment
ohi,past
ymmärrä,understand
sama,same
hieman,slightly
yli,over
muista,remember
yritän,i will try
kuuntele,listen
oletteko,are you
sir,sir
tullut,become
pieni,small
oikea,right
riittää,enough
tiennyt,known
minkä,what
asioita,things like that
tulin,I came
jokin,one
isäni,my father
teemme,we will do
neiti,miss
jossa,where
toivottavasti,hopefully
tarkoittaa,mean
vanha,old
kuoli,died
poissa,Absent
läpi,through
voisin,I could
muuten,otherwise
soittaa,call
halunnut,desired
otan,take
haluaisin,I would like
saanko,can I
pyydän,Please
minuun,me
puhu,talk
nopeasti,quickly
oikeasti,for real
voinko,Can I
kanssasi,with you
täysin,completely
nimi,name
kunnes,until
hyvältä,good
löytää,find
vasta,only
tarpeeksi,enough
iso,major
töitä,work
olisit,you would be
käyttää,use
poliisi,police
asti,until
heille,them
viisi,five
ettet,you don't
irti,loose
kohta,paragraph
kuulostaa,sound
luulen,I think
kuitenkin,however
tahansa,any
isäsi,your father
kiltti,kind
vuoden,year
tulossa,pending
yrittää,try
samaa,the same
kiva,nice
ainakin,at least
tulkaa,come on
hiljaa,shut up
mukana,with
eli,or
sellaista,like that
miltä,what kind of
pakko,forced
ensimmäinen,first
eilen,yesterday
neljä,four
rahat,money
kaunis,beautiful
pysy,permanent
kello,clock
liikaa,too much
kuulin,i heard
tunnen,I feel
senkin,too
mieltä,mind
varten,for
sanoo,says
mukava,nice
tarkoitat,you mean
dollaria,dollars
hitto,deuce
muut,other
kerron,I'll tell you
kotona,at home
asian,The matter can be done by the matter
kertonut,reported
niistä,there
melkein,almost
kertoi,told
näytä,show
sait,you got
siltä,bridge
meistä,of us
kuulla,hear
toisen,another
tunne,feeling
paska,shit
kuullut,heard
kaveri,guy
näen,I see
hieno,fine
luulet,you think
eri,different
pysty,upright
halusi,desire
jopa,even
uskoa,believe
tehdään,do
osa,part
hauska,fun
kapteeni,captain
olimme,We were
auta,help
paitsi,except
uuden,new
kanssani,with me
äitisi,your mother
luuletko,Do you think
tänä,on this
john,John
kanssaan,with his
puhut,you talk about
vuoksi,because of
suoraan,directly
näytät,you look like
kaikkea,everything
aikaan,in time
päivän,day
haloo,Hello
